rank;personName;age;finalWorth;category;source;country;state;city;organization;selfMade;gender;birthDate;title;philanthropyScore
480;John Reece;65.0;5500;Manufacturing;chemicals;United Kingdom;;London;;True;M;3/7/1957;;1.0
480;Eric Smidt;62.0;5500;Fashion & Retail;hardware stores;United States;California;Beverly Hills;;True;M;1/1/1960;;1.0
480;Viktor Vekselberg;64.0;5500;Energy;metals, energy;Russia;;Moscow;;True;M;4/14/1957;;1.0
480;Ronald Wanek;80.0;5500;Manufacturing;furniture;United States;Florida;Saint Petersburg;;True;M;5/19/1941;;1.0
490;Rene Benko;45.0;5400;Real Estate;real estate, retail;Austria;;;;True;M;3/20/1977;;1.0
490;John Brown;87.0;5400;Healthcare;medical equipment;United States;Georgia;Atlanta;;True;M;9/15/1934;;2.0
490;Chen Zhiping;46.0;5400;Manufacturing;e-cigarettes;China;;Shenzhen;;True;M;1/1/1976;;1.0
490;Andrew Currie;66.0;5400;Manufacturing;chemicals;United Kingdom;;London;;True;M;12/4/1955;;1.0
490;Jim Davis & family;78.0;5400;Manufacturing;New Balance;United States;Massachusetts;Newton;New Balance ;True;M;5/17/1943;Chairman;2.0
490;Charles Dolan & family;95.0;5400;Media & Entertainment;cable television;United States;New York;Oyster Bay;Cablevision Systems Corp.;True;M;10/16/1926;Chairman and Founder;2.0
490;Tom Golisano;80.0;5400;Service;payroll services;United States;Florida;Naples;;True;M;11/14/1941;;3.0
490;Hui Wing Mau;71.0;5400;Real Estate;real estate;Hong Kong;;Hong Kong;;True;M;7/1/1950;;1.0
490;Daniel Kretinsky;46.0;5400;Energy;energy, investments;Czechia;;Prague;;True;M;7/9/1975;;1.0
490;Massimiliana Landini Aleotti & family;79.0;5400;Healthcare;pharmaceuticals;Italy;;Fiesole (FI);;False;F;1/1/1943;;1.0
490;Joe Lewis;85.0;5400;Finance & Investments;investments;Bahamas;;Albany;;True;M;2/5/1937;;1.0
490;Li Chunan;53.0;5400;Manufacturing;renewable energy;China;;Fushun;;True;M;10/10/1968;;1.0
490;Lin Muqin & family;58.0;5400;Food & Beverage;beverages;China;;Shenzhen;;True;M;1/1/1964;;1.0
490;Shigenobu Nagamori;77.0;5400;Manufacturing;motors;Japan;;Kyoto;;True;M;8/28/1944;;1.0
490;Kjell Inge Rokke;63.0;5400;Logistics;shipping, seafood;Norway;;Vettre;;True;M;10/25/1958;;1.0
490;Wang Wenjing;57.0;5400;Technology;business software;China;;Beijing;;True;M;12/5/1964;;1.0
490;Chris Xu;38.0;5400;Fashion & Retail;e-commerce;China;;Guangzhou;;True;M;1/1/1984;;1.0
490;Samuel Yin;71.0;5400;Diversified;retail;Taiwan;;Taipei;;False;M;8/16/1950;;1.0
490;M.A. Yusuff Ali;66.0;5400;Fashion & Retail;retail;United Arab Emirates;;Abu Dhabi;;True;M;11/15/1955;;1.0
509;Denise Coates;54.0;5300;Gambling & Casinos;online gambling;United Kingdom;;Stoke-on-Trent;;True;F;9/26/1967;;1.0
509;Ken Fisher;71.0;5300;Finance & Investments;money management;United States;Texas;Dallas;;True;M;11/29/1950;;1.0
509;Peter Grogg;80.0;5300;Healthcare;biochemicals;Switzerland;;Liestal;;True;M;1/10/1942;;1.0
509;Dietmar Hopp & family;81.0;5300;Technology;software;Germany;;Walldorf;;True;M;4/26/1940;;1.0
509;Sumet Jiaravanon;87.0;5300;Diversified;diversified;Thailand;;Bangkok;;False;M;11/2/1934;;1.0
509;Nathan Kirsh;90.0;5300;Fashion & Retail;retail, real estate;Eswatini (Swaziland);;Ezulwini;;True;M;1/6/1932;;1.0
509;Forrest Li;44.0;5300;Media & Entertainment;gaming;Singapore;;Singapore;;True;M;1/1/1978;;1.0
509;Rudolf Maag;76.0;5300;Healthcare;medical devices;Switzerland;;Binningen;;True;M;1/31/1946;;1.0
509;Gary Rollins;77.0;5300;Service;pest control;United States;Georgia;Atlanta;;False;M;8/30/1944;;1.0
509;Ugur Sahin;56.0;5300;Healthcare;biotechnology;Germany;;Mainz;;True;M;9/19/1965;;1.0
509;Mark Scheinberg;48.0;5300;Gambling & Casinos;online gambling;United Kingdom;;Isle of Man;;True;M;12/27/1973;Entrepreneur;1.0
509;Shen Guojun;59.0;5300;Fashion & Retail;retail;China;;Beijing;;True;M;7/31/1962;;1.0
509;Chip Wilson;65.0;5300;Fashion & Retail;Lululemon;Canada;;Vancouver;Lululemon Athletica;True;M;1/1/1957;Chairman;1.0
509;Zhang Yong;51.0;5300;Food & Beverage;restaurants;Singapore;;Singapore;;True;M;7/1/1970;;1.0
523;James Chambers;64.0;5200;Media & Entertainment;media, automotive;United States;New York;Palisades;;False;M;4/12/1957;;1.0
523;Chen Fashu;61.0;5200;Finance & Investments;investments;China;;Fuzhou;;True;M;10/26/1960;;1.0
523;Jaran Chiaravanont;92.0;5200;Diversified;diversified;Thailand;;Bangkok;;False;M;4/1/1930;;1.0
523;Ravi Jaipuria;67.0;5200;Food & Beverage;soft drinks, fast food;India;;Delhi;;False;M;11/28/1954;;1.0
523;Koon Poh Keong;60.0;5200;Manufacturing;aluminum;Malaysia;;Petaling Jaya;;True;M;4/25/1961;;1.0
523;Li Liangbin;54.0;5200;Manufacturing;lithium;China;;Xinyu;;True;M;9/1/1967;;1.0
523;Liang Feng;53.0;5200;Manufacturing;manufacturing;China;;Shanghai;;True;M;11/22/1968;;1.0
523;Wolfgang Marguerre & family;80.0;5200;Healthcare;pharmaceuticals;Germany;;Heidelberg;;True;M;6/4/1941;;1.0
523;Katharine Rayner;77.0;5200;Media & Entertainment;media, automotive;United States;New York;East Hampton;;False;F;1/12/1945;;1.0
523;Carlos Rodriguez-Pastor;62.0;5200;Finance & Investments;finance;Peru;;Lima;;False;M;4/11/1959;;1.0
523;Margaretta Taylor;79.0;5200;Media & Entertainment;media, automotive;United States;New York;Southampton;;False;F;4/15/1942;;1.0
523;You Xiaoping;64.0;5200;Manufacturing;chemicals, spandex;China;;Wenzhou;;True;M;1/21/1958;;1.0
523;Eric Yuan & family;52.0;5200;Technology;Zoom Video Communications;United States;California;Santa Clara;Rx relief;True;M;2/20/1970;Founder and CEO;1.0
536;Robert Bass;74.0;5100;Energy;oil, investments;United States;Texas;Fort Worth;;False;M;3/19/1948;;2.0
536;Alexandre Behring;55.0;5100;Finance & Investments;investments;United States;Connecticut;Greenwich;;True;M;2/20/1967;;1.0
536;Chan Laiwa & family;81.0;5100;Real Estate;real estate;China;;Beijing;;True;F;1/1/1941;Philanthropist;1.0
536;Jeff Greene;67.0;5100;Real Estate;real estate, investments;United States;Florida;Palm Beach;;True;M;12/10/1954;;1.0
536;Montri Jiaravanont;91.0;5100;Diversified;diversified;Thailand;;Bangkok;;False;M;4/1/1931;;1.0
536;Charles B. Johnson;89.0;5100;Finance & Investments;money management;United States;Florida;Palm Beach;Franklin Resources;False;M;1/6/1933;Former Chairman and CEO;3.0
536;Elizabeth Johnson;58.0;5100;Finance & Investments;money management;United States;Massachusetts;Boston;;False;F;5/7/1963;;2.0
536;Lin Bin;54.0;5100;Technology;smartphones;China;;Shenzhen;;True;M;2/1/1968;;1.0
536;Hiroshi Mikitani;57.0;5100;Fashion & Retail;online retail;Japan;;Tokyo;;True;M;3/11/1965;;1.0
536;Isaac Perlmutter;79.0;5100;Media & Entertainment;Marvel comics;United States;Florida;Palm Beach;Marvel Entertainment;True;M;12/1/1942;Chairman;1.0
536;Michael Pieper;76.0;5100;Manufacturing;kitchen appliances;Switzerland;;Lucerne;Artemis Real Estate Partners;True;M;2/5/1946;CEO of Artemis Group;1.0
536;Issad Rebrab & family;78.0;5100;Food & Beverage;food;Algeria;;Algiers;;True;M;1/1/1944;;1.0
536;Tsai Hong-tu;69.0;5100;Finance & Investments;finance;Taiwan;;Taipei;;False;M;8/1/1952;;1.0
536;Richard Tsai;64.0;5100;Finance & Investments;finance;Taiwan;;Taipei;;False;M;6/2/1957;;1.0
536;Wang Junshi & family;73.0;5100;Manufacturing;solar inverters;China;;Ningbo;;True;M;1/1/1949;;1.0
536;Wang Yanqing & family;55.0;5100;Manufacturing;electrical equipment;China;;Wuxi;;True;M;4/7/1966;;1.0
552;Shari Arison;64.0;5000;Service;Carnival Cruises;Israel;;Tel Aviv;;False;F;9/9/1957;Investor, Philanthropist;1.0
552;Alain Bouchard;73.0;5000;Fashion & Retail;convinience stores;Canada;;Montreal;Alimentation Couche Tard Inc. Cl A;True;M;2/18/1949;Entrepreneur;1.0
552;Austen Cargill, II.;71.0;5000;Food & Beverage;Cargill;United States;Montana;Livingston;;False;M;3/9/1951;;1.0
552;James Cargill, II.;72.0;5000;Food & Beverage;Cargill;United States;Wisconsin;Birchwood;;False;M;4/7/1949;;1.0
552;Ben Chestnut;47.0;5000;Technology;email marketing;United States;Georgia;Atlanta;;True;M;6/15/1974;;1.0
552;Wei Fang;48.0;5000;Manufacturing;steel;China;;Beijing;;True;M;9/4/1973;;1.0
552;Leonid Fedun;66.0;5000;Energy;oil;Russia;;Moscow;;True;M;4/5/1956;;1.0
552;Johann Graf;75.0;5000;Gambling & Casinos;gambling;Austria;;Vienna;;True;M;1/3/1947;;1.0
552;Huang Chulong;63.0;5000;Real Estate;real estate;China;;Shenzhen;;True;M;1/1/1959;;1.0
552;Huang Yi;60.0;5000;Automotive;car dealerships;China;;Beijing;;True;M;1/1/1962;;1.0
552;Vladimir Kim;61.0;5000;Metals & Mining;mining;Kazakhstan;;Almaty;;True;M;10/29/1960;;1.0
552;Dan Kurzius;50.0;5000;Technology;email marketing;United States;Georgia;Atlanta;;True;M;12/1/1971;;1.0
552;Ronald Lauder;78.0;5000;Fashion & Retail;Estee Lauder;United States;New York;New York;;False;M;2/26/1944;;2.0
552;Marianne Liebmann;68.0;5000;Food & Beverage;Cargill;United States;Montana;Bozeman;;False;F;7/11/1953;;1.0
552;Tobi Lutke;41.0;5000;Technology;e-commerce;Canada;;Ottawa;;True;M;7/16/1980;;1.0
552;Thomas Pritzker;71.0;5000;Finance & Investments;hotels, investments;United States;Illinois;Chicago;Hyatt Hotels;False;M;6/6/1950;Executive Chairman;2.0
552;Scott Shleifer;44.0;5000;Finance & Investments;private equity;United States;New York;New York;Tiger Global Management;True;M;6/14/1977;Investor;2.0
552;Autry Stephens;83.0;5000;Energy;oil;United States;Texas;Midland;;True;M;1/1/1939;;1.0
552;Peter Thiel;54.0;5000;Finance & Investments;Facebook, investments;United States;California;Los Angeles;Founders Fund;True;M;10/11/1967;Investor;2.0
552;Tsai Cheng-ta;72.0;5000;Finance & Investments;finance;Taiwan;;Taipei;;False;M;4/1/1950;;1.0
552;Maximilian Viessmann;;5000;Manufacturing;heating, cooling equipment;Germany;;Battenberg;;False;M;;;1.0
552;Hansjoerg Wyss;87.0;5000;Healthcare;medical devices;United States;Wyoming;Wilson;;True;M;1/1/1935;;1.0
552;Xiao Yongming & family;57.0;5000;Diversified;fertilizer;China;;Beijing;;True;M;7/1/1964;;1.0
552;Zhang Tao;49.0;5000;Fashion & Retail;e-commerce;China;;Beijing;;True;M;11/1/1972;;1.0
552;Daniel Ziff;50.0;5000;Finance & Investments;investments;United States;New York;New York;;False;M;11/2/1971;;1.0
552;Dirk Ziff;58.0;5000;Finance & Investments;investments;United States;Florida;North Palm Beach;;False;M;4/1/1964;;1.0
552;Robert Ziff;55.0;5000;Finance & Investments;investments;United States;New York;New York;;False;M;8/12/1966;;1.0
579;Kapil & Rahul Bhatia;;4900;Service;airlines;India;;Delhi;;True;M;;;1.0
579;Mat Ishbia;42.0;4900;Finance & Investments;mortgage lender;United States;Michigan;Bloomfield Hills;;False;M;1/6/1980;;1.0
579;Robert Rich, Jr.;81.0;4900;Food & Beverage;frozen foods;United States;Florida;Islamorada;;False;M;1/25/1941;;1.0
579;Thomas Schmidheiny;76.0;4900;Construction & Engineering;cement;Switzerland;;Jona;;False;M;12/17/1945;;1.0
579;Alexandra Schoerghuber & family;63.0;4900;Real Estate;real estate;Germany;;Munich;;False;F;7/24/1958;;1.0
579;Erik Selin;54.0;4900;Real Estate;real estate;Sweden;;Göteborg;;True;M;5/8/1967;Entrepreneur;1.0
579;Daniel Tsai;65.0;4900;Finance & Investments;finance;Taiwan;;Taipei;;False;M;4/25/1956;;1.0
586;Dona Bertarelli;54.0;4800;Healthcare;biotech;Switzerland;;Gstaad;;False;F;1/1/1968;;1.0
586;Andrei Guriev & family;62.0;4800;Manufacturing;fertilizers;Russia;;Moscow;;True;M;3/24/1960;;1.0
586;Luciano Hang;59.0;4800;Fashion & Retail;department stores;Brazil;;Brusque;;True;M;10/11/1962;;1.0
586;Hu Baifan;59.0;4800;Healthcare;pharmaceuticals;China;;Shaoxing;;True;M;10/1/1962;;1.0
586;Bidzina Ivanishvili;66.0;4800;Finance & Investments;investments;Georgia;;Tbilisi;;True;M;2/18/1956;;1.0
586;Yeow Chor & Yeow Seng Lee;;4800;Food & Beverage;palm oil, property;Malaysia;;;;False;M;;;1.0
586;Leng Youbin;53.0;4800;Food & Beverage;infant formula;China;;Beijing;;True;M;1/1/1969;;1.0
586;Theo Mueller;82.0;4800;Food & Beverage;dairy;Switzerland;;Zurich;;False;M;1/30/1940;Entrepreneur;1.0
586;Julian Robertson, Jr.;89.0;4800;Finance & Investments;hedge funds;United States;New York;Locust Valley;;True;M;6/25/1932;;5.0
586;Marc Rowan;59.0;4800;Finance & Investments;private equity;United States;New York;New York;;True;M;8/19/1962;;2.0
586;Emanuele (Lino) Saputo & family;85.0;4800;Food & Beverage;cheese;Canada;;Montreal;Saputo;False;M;1/1/1937;Chairman;1.0
586;Jeff Skoll;57.0;4800;Technology;eBay;United States;California;Los Angeles;;True;M;1/16/1965;;4.0
586;Frank Wang;41.0;4800;Technology;drones;China;;Shenzhen;DJI Technology Co.;True;M;10/30/1980;Entrepreneur;1.0
586;Wang Junlin;59.0;4800;Food & Beverage;liquor;China;;Chengdu;;True;M;9/1/1962;;1.0
586;Yang Shaopeng;64.0;4800;Logistics;shipping;China;;Qingdao;;True;M;1/1/1958;;1.0
601;Maria Fernanda Amorim & family;87.0;4700;Diversified;energy, investments;Portugal;;Grijo;;False;F;1/16/1935;;1.0
601;Leonid Boguslavsky;70.0;4700;Finance & Investments;venture capital;Italy;;Florence;;True;M;6/17/1951;;1.0
601;Richard Branson;71.0;4700;Diversified;Virgin;British Virgin Islands;;Necker Island;;True;M;7/18/1950;;1.0
601;Robert Brockman;80.0;4700;Technology;software;United States;Texas;Houston;;True;M;5/28/1941;;2.0
601;Pierre Chen;65.0;4700;Technology;electronics;Taiwan;;Taipei;;True;M;9/28/1956;Entrepreneur;1.0
601;Chu Mang Yee & family;62.0;4700;Real Estate;real estate;China;;Guangzhou;;True;M;1/1/1960;;1.0
601;Scott Cook;69.0;4700;Technology;software;United States;California;Woodside;;True;M;7/26/1952;;3.0
601;Mark Cuban;63.0;4700;Media & Entertainment;online media, Dallas Mavericks;United States;Texas;Dallas;Dallas Mavericks;True;M;7/31/1958;Owner;1.0
601;Guenther Fielmann & family;82.0;4700;Healthcare;optometry;Germany;;Hamburg;;True;M;9/17/1939;;1.0
601;Martin Haefner;68.0;4700;Technology;software, investments;Switzerland;;Zurich;;False;M;1/1/1954;;1.0
601;Johnelle Hunt;90.0;4700;Logistics;trucking;United States;Arkansas;Fayetteville;;True;F;1/4/1932;;2.0
601;Andre Koo, Sr.;54.0;4700;Finance & Investments;financial services;Taiwan;;Taipei;;False;M;5/25/1967;;1.0
601;Lai Meisong;51.0;4700;Logistics;package delivery;China;;Shanghai;;True;M;1/1/1971;;1.0
601;Richard Li;55.0;4700;Telecom;telecom;Hong Kong;;Hong Kong;;False;M;11/8/1966;;1.0
601;Mangal Prabhat Lodha;66.0;4700;Real Estate;real estate;India;;Mumbai;;True;M;12/1/1955;;1.0
601;Igor Olenicoff;79.0;4700;Real Estate;real estate;United States;Florida;Lighthouse Point;;True;M;9/20/1942;;1.0
601;Mark Shoen;71.0;4700;Automotive;U-Haul;United States;Arizona;Phoenix;;False;M;11/20/1950;;1.0
601;Andrei Skoch & family;56.0;4700;Metals & Mining;steel;Russia;;Moscow;;True;M;1/30/1966;;1.0
601;Fred Smith;77.0;4700;Logistics;FedEx;United States;Tennessee;Memphis;FedEx;True;M;8/11/1944;Chairman and CEO;1.0
601;Murat Ulker;63.0;4700;Food & Beverage;food;Turkey;;Istanbul;;False;M;3/23/1959;;1.0
601;Yu Yong;61.0;4700;Finance & Investments;mining;China;;Shanghai;;True;M;2/1/1961;;1.0
622;Stéphane Bancel;49.0;4600;Healthcare;biotech;United States;Massachusetts;Boston;;True;M;7/20/1972;;1.0
622;Bubba Cathy;67.0;4600;Food & Beverage;Chick-fil-A;United States;Georgia;Atlanta;;False;M;4/22/1954;;1.0
622;Dan Cathy;69.0;4600;Food & Beverage;Chick-fil-A;United States;Georgia;Atlanta;;False;M;3/1/1953;;1.0
622;Trudy Cathy White;66.0;4600;Food & Beverage;Chick-fil-A;United States;Georgia;Hampton;;False;F;12/17/1955;;1.0
622;Jason Chang;77.0;4600;Technology;electronics;Taiwan;;Taipei;;True;M;5/1/1944;;1.0
622;Dagmar Dolby & family;80.0;4600;Technology;Dolby Laboratories;United States;California;San Francisco;;False;F;6/28/1941;;3.0
622;Bruce Flatt;56.0;4600;Finance & Investments;money management;United Kingdom;;London;;True;M;6/1/1965;Investor;1.0
622;Masatoshi Ito;97.0;4600;Fashion & Retail;retail;Japan;;Tokyo;;True;M;4/30/1924;;1.0
622;Viatcheslav Kantor;68.0;4600;Manufacturing;fertilizer, real estate;United Kingdom;;London;;True;M;9/8/1953;;1.0
622;Min Kao & family;73.0;4600;Technology;navigation equipment;United States;Kansas;Leawood;Garmin Corporation;True;M;1/10/1949;Chairman and CEO;1.0
622;Lin Xiucheng & family;66.0;4600;Technology;electronics;China;;Xiamen;;True;M;10/10/1955;;1.0
622;Sami Mnaymneh;60.0;4600;Finance & Investments;private equity;United States;Florida;Miami Beach;;True;M;7/13/1961;;1.0
622;Tony Tamer;64.0;4600;Finance & Investments;private equity;United States;New York;New York;;True;M;10/12/1957;;1.0
622;Richard White;67.0;4600;Technology;software;Australia;;Sydney;;True;M;4/1/1955;;1.0
622;Baoguo Zhu & family;59.0;4600;Healthcare;pharmaceuticals;China;;Shenzhen;;True;M;4/25/1962;;1.0
637;Michael Ashley;57.0;4500;Fashion & Retail;sports retailing;United Kingdom;;Hertfordshire;;True;M;9/12/1964;;1.0
637;Ron Baron;78.0;4500;Finance & Investments;money management;United States;New York;New York;;True;M;5/23/1943;;1.0
637;Bert Beveridge;60.0;4500;Food & Beverage;vodka;United States;Texas;Austin;;True;M;1/1/1962;;1.0
637;Todd Boehly;48.0;4500;Finance & Investments;finance;United States;Connecticut;Darien;;True;M;9/20/1973;;1.0
637;David Bonderman;79.0;4500;Finance & Investments;private equity;United States;Texas;Fort Worth;;True;M;11/27/1942;;2.0
637;Guo Guangchang;55.0;4500;Diversified;conglomerate;China;;Shanghai;;True;M;2/16/1967;;1.0
637;Daryl Katz;60.0;4500;Diversified;pharmacies;Canada;;Edmonton;Rexall Health;True;M;9/1/1961;Chairman;1.0
637;Ted Lerner & family;96.0;4500;Real Estate;real estate;United States;Maryland;Chevy Chase;;True;M;10/15/1925;;1.0
637;Falguni Nayar;59.0;4500;Fashion & Retail;retailing;India;;Mumbai;Nykaa;True;F;2/19/1963;Founder & CEO;1.0
637;Trevor Rees-Jones;70.0;4500;Energy;oil & gas;United States;Texas;Dallas;;True;M;8/12/1951;;3.0
637;J. Joe Ricketts & family;80.0;4500;Finance & Investments;TD Ameritrade;United States;Wyoming;Little Jackson Hole;;True;M;7/16/1941;;3.0
637;Robert Rowling;68.0;4500;Service;hotels, investments;United States;Texas;Dallas;;False;M;9/26/1953;;2.0
637;Mark Stevens;62.0;4500;Finance & Investments;venture capital;United States;Colorado;Steamboat Springs;;True;M;2/17/1960;;2.0
637;Gustav Magnar Witzoe;28.0;4500;Food & Beverage;fish farming;Norway;;Kverva;;False;M;4/22/1993;;1.0
637;Xie Liangzhi & family;56.0;4500;Healthcare;biotech;China;;Beijing;;True;M;1/1/1966;;1.0
637;Yeung Kin-man;58.0;4500;Manufacturing;electronics;Hong Kong;;Hong Kong;;True;M;4/1/1964;;1.0
637;Zhang Hejun;;4500;Manufacturing;electronics;China;;Ningbo;;True;M;;;1.0
654;Andrej Babis;67.0;4400;Food & Beverage;agriculture;Czechia;;Prague;;True;M;9/2/1954;;1.0
654;Giuseppe De'Longhi & family;82.0;4400;Fashion & Retail;coffee makers;Italy;;Treviso;;False;M;4/24/1939;;1.0
654;Barry Diller;80.0;4400;Media & Entertainment;online media;United States;New York;New York;;True;M;2/2/1942;;3.0
654;Christian Haub;57.0;4400;Fashion & Retail;retail;Germany;;Munich;;False;M;7/22/1964;;1.0
654;Huang Li;58.0;4400;Technology;imaging systems;China;;Wuhan;;True;M;6/27/1963;;1.0
654;Marian Ilitch;89.0;4400;Food & Beverage;Little Caesars;United States;Michigan;Bingham Farms;;True;F;1/7/1933;Entrepreneur;2.0
654;Suleiman Kerimov & family;56.0;4400;Finance & Investments;gold;Russia;;Moscow;;True;M;3/12/1966;;1.0
654;Edwin Leong;70.0;4400;Real Estate;real estate;Hong Kong;;Hong Kong;;True;M;12/4/1951;;1.0
654;Lu Yiwen;35.0;4400;Fashion & Retail;Luxury goods;China;;Shenzhen;;True;F;1/1/1987;;1.0
654;N.R. Narayana Murthy;75.0;4400;Technology;software services;India;;Bangalore;;True;M;8/20/1946;;1.0
654;Yang Jianliang & family;52.0;4400;Manufacturing;machinery;China;;Wuxi;;True;M;6/1/1969;;1.0
665;Pyotr Aven;67.0;4300;Finance & Investments;oil, banking, telecom;Russia;;Moscow;;True;M;3/16/1955;;1.0
665;Joesley Batista;50.0;4300;Food & Beverage;beef processing;Brazil;;Sao Paulo;;False;M;2/5/1972;;1.0
665;Wesley Batista;49.0;4300;Food & Beverage;beef packing;Brazil;;Sao Paulo;;False;M;12/8/1972;;1.0
665;Margot Birmingham Perot;88.0;4300;Technology;computer services, real estate;United States;Texas;Dallas;;False;F;11/15/1933;;2.0
665;Rick Caruso;63.0;4300;Real Estate;real estate;United States;California;Los Angeles;;True;M;1/7/1959;;2.0
665;Jim Davis;62.0;4300;Service;staffing & recruiting;United States;Maryland;Cockeysville;;True;M;3/13/1960;;2.0
665;Walter P.J. Droege;69.0;4300;Finance & Investments;investing;Germany;;Dusseldorf;;True;M;11/25/1952;;1.0
665;Dan Friedkin;57.0;4300;Automotive;Toyota dealerships;United States;Texas;Houston;Gulf States Toyota;False;M;2/27/1965;owner and ceo;4.0
665;Gao Dekang & family;70.0;4300;Fashion & Retail;apparel;China;;Changshu;;True;M;2/1/1952;;1.0
665;Antti Herlin;65.0;4300;Manufacturing;elevators, escalators;Finland;;Kirkkonummi;;False;M;11/14/1956;;1.0
665;W. Herbert Hunt;93.0;4300;Energy;oil;United States;Texas;Dallas;;False;M;3/6/1929;Investor;1.0
665;Jason Jiang;49.0;4300;Media & Entertainment;advertising;China;;Shanghai;;True;M;1/1/1973;;1.0
665;Rupert Johnson, Jr.;81.0;4300;Finance & Investments;money management;United States;California;Burlingame;Franklin Resources;False;M;8/10/1940;Vice Chairman and Director;2.0
665;Vikram Lal & family;80.0;4300;Automotive;motorcycles;India;;Delhi;;False;M;3/5/1942;;1.0
665;Lam Wai-ying;;4300;Manufacturing;smartphone screens;Hong Kong;;Hong Kong;Biel Crystal;True;F;;Chairman ;1.0
665;Chris Larsen;61.0;4300;Finance & Investments;cryptocurrency;United States;California;San Francisco;;True;M;6/15/1960;;3.0
665;Richard Schulze;81.0;4300;Fashion & Retail;Best Buy;United States;Florida;Bonita Springs;Best Buy;True;M;1/2/1941;Chairman;2.0
665;Paul Singer;77.0;4300;Finance & Investments;hedge funds;United States;New York;New York;Elliott Management;True;M;8/22/1944;Investor;2.0
665;Barry Sternlicht;61.0;4300;Finance & Investments;private equity;United States;Florida;Miami;;True;M;11/27/1960;;1.0
665;Su Hua;40.0;4300;Media & Entertainment;video streaming;China;;Beijing;;True;M;1/1/1982;;1.0
665;Mark Walter;61.0;4300;Finance & Investments;finance;United States;Illinois;Chicago;Guggenheim Partners LLC;True;M;5/22/1960;CEO;1.0
665;Ty Warner;77.0;4300;Real Estate;plush toys, real estate;United States;Illinois;Oak Brook;;True;M;9/3/1944;;2.0
687;Rinat Akhmetov;55.0;4200;Metals & Mining;steel, coal;Ukraine;;Donetsk;;True;M;9/21/1966;;1.0
687;Martin & Olivier Bouygues;;4200;Construction & Engineering;construction, media;France;;Paris;;False;M;;;1.0
687;Bernard Broermann;78.0;4200;Healthcare;hospitals;Germany;;Koenigstein;;True;M;11/22/1943;;1.0
687;Mong-Koo Chung;84.0;4200;Automotive;Hyundai;South Korea;;Seoul;Hyundai Motor Co. Ltd.;False;M;3/19/1938;Chairman;1.0
687;Daniel D'Aniello;75.0;4200;Finance & Investments;private equity;United States;Virginia;Vienna;;True;M;9/14/1946;;2.0
687;Traudl Engelhorn & family;95.0;4200;Healthcare;pharmaceuticals, medical equipment;Switzerland;;Lucerne;;False;F;1/21/1927;;1.0
687;Piero Ferrari;76.0;4200;Automotive;automobiles;Italy;;Modena;;False;M;5/22/1945;;1.0
687;Carlo Fidani;67.0;4200;Real Estate;real estate;Canada;;Toronto;Orlando Corporation;False;M;1/1/1955;Chairman;1.0
687;Yakir Gabay;55.0;4200;Real Estate;real estate;United Kingdom;;London;;True;M;4/13/1966;;1.0
687;Jaime Gilinski Bacal;64.0;4200;Finance & Investments;banking;United Kingdom;;London;;False;M;12/14/1957;Investor;1.0
687;Bertil Hult;81.0;4200;Service;education;Switzerland;;Lucerne;;True;M;2/10/1941;;1.0
687;Martha Ingram & family;86.0;4200;Media & Entertainment;book distribution, transportation;United States;Tennessee;Nashville;Ingram Industries;False;F;8/20/1935;Former Chairman;1.0
687;Lee Yin Yee;70.0;4200;Manufacturing;glass;Hong Kong;;Hong Kong;;True;M;1/1/1952;;1.0
687;Daniel Loeb;60.0;4200;Finance & Investments;hedge funds;United States;New York;New York;Third Point;True;M;12/18/1961;Investor;2.0
687;Janice McNair;85.0;4200;Sports;energy, sports;United States;Texas;Houston;;False;F;9/30/1936;;2.0
687;Ajay Piramal;66.0;4200;Healthcare;pharmaceuticals;India;;Mumbai;;False;M;8/3/1955;;1.0
687;Lynsi Snyder;39.0;4200;Food & Beverage;In-N-Out Burger;United States;California;Glendora;;False;F;5/5/1982;;1.0
687;Peter Spuhler;62.0;4200;Manufacturing;train cars;Switzerland;;Weiningen;;True;M;9/1/1959;;1.0
687;Kerry Stokes;81.0;4200;Diversified;construction equipment, media;Australia;;Perth;;True;M;9/13/1940;;1.0
687;Jon Stryker;63.0;4200;Healthcare;medical equipment;United States;New York;New York;;False;M;5/3/1958;;4.0
687;Vincent Viola;66.0;4200;Finance & Investments;electronic trading;United States;New York;New York;;True;M;2/12/1956;;1.0
687;Romesh T. Wadhwani;74.0;4200;Technology;software;United States;California;Palo Alto;Symphony Technology Group;True;M;8/25/1947;Founder and Chairman;2.0
709;Juan Domingo Beckmann Legorreta & family;54.0;4100;Food & Beverage;tequila;Mexico;;;;False;M;7/1/1967;;1.0
709;Rafael Del Pino;63.0;4100;Construction & Engineering;construction;Spain;;Madrid;;False;M;7/18/1958;;1.0
709;Sergey Dmitriev;56.0;4100;Technology;computer software;Czechia;;Prague;;True;M;3/11/1966;;1.0
709;Senapathy Gopalakrishnan;67.0;4100;Technology;software services;India;;Bangalore;;True;M;4/5/1955;;1.0
709;James Irving;94.0;4100;Diversified;diversified;Canada;;Saint John;;False;M;3/20/1928;;1.0
709;Lee Boo-jin;51.0;4100;Service;Samsung;South Korea;;Seoul;Hotel Shilla;False;F;10/6/1970;President and CEO;1.0
